IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2400:cb00:2049::7bb1:8bf3,4,4,0.00,166.30,86.16
2400:cb00:2049:0:690a:ff05:e1a:b146,4,4,0.00,165.55,85.10
2400:cb00:2049:0:cb:4b4d:2d80:718f,4,4,0.00,166.65,76.08
2400:cb00:2049::884c:e86:b95d,4,4,0.00,168.73,73.99
2400:cb00:2049:42d9:a9a4:fb9f:25c8:e18d,4,4,0.00,166.38,73.59
2400:cb00:2049::8861:addb:51cc,4,4,0.00,165.02,72.93
2400:cb00:2049:0:cb:d529:b8c3:f6cc,4,4,0.00,166.79,71.27
2400:cb00:2049::8861:3fdf:722f,4,4,0.00,162.89,65.99
2400:cb00:2049:42d9:a9a4:fb5e:4a56:2376,4,4,0.00,170.68,58.60
2400:cb00:2049::60:a483,4,4,0.00,170.54,57.07
